fips,opioid_factor,year
1127,270000.0,2007
3651,93500.0,2007
12133,26250.0,2007
363,195000.0,2007
3677,371750.0,2007
51600,2279750.0,2007
3421,49000.0,2007
1271,860250.0,2007
51147,20000.0,2007
3783,12500.0,2007
5471,83000.0,2007
1865,1000.0,2007
17141,55250.0,2007
1885,1000.0,2007
2847,750.0,2007
3613,4189500.0,2007
3611,118750.0,2007
3621,734725.0,2007
135,3750.0,2007
3699,472000.0,2007
4217,243000.0,2007
3667,1770000.0,2007
48157,120000.0,2007
341,43500.0,2007
2447,1148250.0,2007
2419,782750.0,2007
13253,7500.0,2007
1683,180000.0,2007
42107,377000.0,2007
3653,346750.0,2007
3415,160875.0,2007
5015,23500.0,2007
17113,12500.0,2007
51127,7250.0,2007
4289,3562250.0,2007
13277,43750.0,2007
1891,60500.0,2007
5023,177500.0,2007
3631,197535.0,2007
2445,3120500.0,2007
2521,447750.0,2007
91,32000.0,2007
1731,848750.0,2007
17111,86250.0,2007
51171,34500.0,2007
3635,32000.0,2007
3425,133250.0,2007
519,3000.0,2007
4283,19000.0,2007
3791,2750.0,2007
3429,43250.0,2007
21111,750.0,2007
51153,1321250.0,2007
2527,70000.0,2007
5525,3000.0,2007
5113,366750.0,2007
51121,142975.0,2007
5447,1279000.0,2007
183,15250.0,2007
3623,280500.0,2007
1881,7500.0,2007
5151,60100.0,2007
339,500.0,2007
4291,463900.0,2007
3441,70500.0,2007
4237,499565.0,2007
2625,122500.0,2007
673,2.66961368E7,2007
42101,47000.0,2007
187,12000.0,2007
48141,5000.0,2007
347,791500.0,2007
4159,535.0,2007
51125,18000.0,2007
2515,50500.0,2007
51141,135250.0,2007
3993,332133.55,2007
18167,1152000.0,2007
517,13500.0,2007
1269,11225.0,2007
5161,377000.0,2007
369,61000.0,2007
5185,414000.0,2007
3673,75500.0,2007
5127,212000.0,2007
3427,43250.0,2007
3657,102635.0,2007
3941,52500.0,2007
36109,149000.0,2007
18131,23000.0,2007
40109,1500.0,2007
51143,2500.0,2007
36119,2737960.0,2007
543,187750.0,2007
3675,1154750.0,2007
13121,292000.0,2007
5427,21000.0,2007
333,100000.0,2007
4211,337500.0,2007
42109,167500.0,2007
4235,1002250.0,2007
5171,326750.0,2007
3949,1513635.0,2007
3961,4000.0,2007
3413,255250.0,2007
4269,2248750.0,2007
2429,201000.0,2007
5173,733475.0,2007
17123,1750.0,2007
12105,682000.0,2007
121,5000.0,2007
4251,1000.0,2007
17105,163500.0,2007
1889,514975.0,2007
507,933960.0,2007
55135,25000.0,2007
51101,93500.0,2007
42117,216750.0,2007
3639,318750.0,2007
423,90500.0,2007
27157,8000.0,2007
42131,35500.0,2007
105,4845250.0,2007
3655,3782015.0,2007
36111,838725.0,2007
4957,5000.0,2007
18169,10000.0,2007
349,12500.0,2007
367,2028865.0,2007
37155,36000.0,2007
3435,144000.0,2007
1811,30000.0,2007
1393,750.0,2007
1387,35000.0,2007
3697,33250.0,2007
39103,86650.0,2007
51167,770000.0,2007
3659,1.027055355E7,2007
29135,3250.0,2007
4241,91475.0,2007
48439,3000.0,2007
1873,188283.55,2007
51195,499000.0,2007
3417,72000.0,2007
1291,125000.0,2007
345,79250.0,2007
39143,33500.0,2007
1757,4000.0,2007
3669,660000.0,2007
13285,1000.0,2007
1371,27500.0,2007
4119,48750.0,2007
15,10000.0,2007
51187,656250.0,2007
39157,89750.0,2007
5363,20000.0,2007
3643,381750.0,2007
4229,5000.0,2007
659,1.24322842E7,2007
3629,2334815.0,2007
12101,991750.0,2007
3937,500.0,2007
51191,29750.0,2007
39169,15500.0,2007
5025,213500.0,2007
1775,45000.0,2007
637,2.605310195E7,2007
5579,90975.0,2007
42133,132250.0,2007
51155,66000.0,2007
503,119740.0,2007
5121,17000.0,2007
3637,349250.0,2007
2525,44500.0,2007
3693,730250.0,2007
3423,80320.0,2007
36121,87000.0,2007
27113,5000.0,2007
1791,176750.0,2007
671,5871593.55,2007
21227,40000.0,2007
161,55625.0,2007
3319,3750.0,2007
51173,49500.0,2007
2329,500.0,2007
13315,11250.0,2007
2517,6044750.0,2007
2999,9000.0,2007
51133,108750.0,2007
3695,81760.0,2007
2441,257900.0,2007
42119,240250.0,2007
2427,908500.0,2007
36105,804500.0,2007
4139,16000.0,2007
2439,91000.0,2007
39129,1000.0,2007
3439,199250.0,2007
18137,3750.0,2007
3679,310983.55,2007
3945,22500.0,2007
237,414325.0,2007
5167,6750.0,2007
18109,2000.0,2007
18111,645000.0,2007
1817,750.0,2007
5193,9000.0,2007
1853,29925.0,2007
3687,1221000.0,2007
26139,640000.0,2007
55139,2500.0,2007
1293,750.0,2007
683,4547000.0,2007
249,494000.0,2007
36115,98500.0,2007
241,794000.0,2007
5137,517750.0,2007
51177,435500.0,2007
48201,1705000.0,2007
1231,20250.0,2007
5353,18000.0,2007
4281,1147958.55,2007
4277,307000.0,2007
39147,250000.0,2007
13193,750.0,2007
5423,73250.0,2007
4225,94750.0,2007
421,23500.0,2007
3633,241250.0,2007
48397,20000.0,2007
17203,500.0,2007
1369,383750.0,2007
51197,406250.0,2007
21235,10000.0,2007
36107,119750.0,2007
5455,1213500.0,2007
5133,442250.0,2007
51161,341000.0,2007
48499,10000.0,2007
1286,4500.0,2007
3977,41000.0,2007
5169,520250.0,2007
5021,23785.0,2007
5469,250000.0,2007
235,52500.0,2007
4297,2460260.0,2007
3617,171500.0,2007
3731,98000.0,2007
5187,456750.0,2007
5175,49750.0,2007
513,36000.0,2007
3615,288750.0,2007
39109,750.0,2007
243,6014500.0,2007
18157,5000.0,2007
3431,84000.0,2007
2431,4553810.0,2007
169,25675.0,2007
361,1493250.0,2007
259,414065.0,2007
1843,250000.0,2007
2421,4200750.0,2007
36103,1.446681855E7,2007
13233,57500.0,2007
413,241875.0,2007
1113,5000.0,2007
101,1633725.0,2007
3665,808600.0,2007
5189,100000.0,2007
1789,189500.0,2007
4245,782000.0,2007
3683,187975.0,2007
665,4337733.55,2007
5431,62500.0,2007
3619,1061535.0,2007
505,126250.0,2007
5561,14000.0,2007
225,18750.0,2007
3691,515825.0,2007
2251,10000.0,2007
39113,3250.0,2007
5011,39500.0,2007
2411,522500.0,2007
1899,12500.0,2007
5457,367500.0,2007
1257,419500.0,2007
5465,170000.0,2007
39167,4000.0,2007
5123,36000.0,2007
4275,151750.0,2007
13275,18250.0,2007
429,4000.0,2007
2413,2074250.0,2007
51520,50000.0,2007
5119,27000.0,2007
1815,7000.0,2007
4793,4000.0,2007
51760,9500.0,2007
4271,500000.0,2007
3985,121750.0,2007
1857,750.0,2007
5545,4500.0,2007
48113,500.0,2007
4255,96750.0,2007
509,8000.0,2007
2319,2744000.0,2007
42115,28500.0,2007
39165,41000.0,2007
39139,43650.0,2007
17155,3750.0,2007
1937,2500.0,2007
5019,160760.0,2007
2423,151500.0,2007
629,6730000.0,2007
501,123500.0,2007
1737,5000.0,2007
4729,2500.0,2007
39133,8250.0,2007
6111,3380610.0,2007
5437,50000.0,2007
42127,564555.0,2007
1211,727000.0,2007
627,503250.0,2007
253,421500.0,2007
511,25000.0,2007
51775,67250.0,2007
3645,472500.0,2007
42103,539000.0,2007
55111,93250.0,2007
37181,18000.0,2007
51107,1242250.0,2007
1743,328000.0,2007
4279,4516299.2,2007
397,71750.0,2007
177,102500.0,2007
17179,750.0,2007
51193,226250.0,2007
5125,4500.0,2007
4151,3750.0,2007
3311,62000.0,2007
3437,77983.55,2007
36117,473750.0,2007
3625,867035.0,2007
415,27000.0,2007
36101,69250.0,2007
395,750.0,2007
3419,119000.0,2007
51131,77000.0,2007
3649,97250.0,2007
2699,36000.0,2007
245,1.676450855E7,2007
3943,142400.0,2007
3955,11225.0,2007
343,254225.0,2007
3957,6000.0,2007
1753,7500.0,2007
51139,230900.0,2007
36113,120953.9,2007
1799,5000.0,2007
4293,382565.0,2007
55133,67500.0,2007
4295,789250.0,2007
1763,19500.0,2007
3663,774650.0,2007
103,2048250.0,2007
3919,90750.0,2007
625,208035.0,2007
5521,750.0,2007
3223,278250.0,2007
129,225.0,2007
17197,627200.0,2007
51165,54250.0,2007
4117,36000.0,2007
39131,2500.0,2007
2417,2345750.0,2007
519,12750.0,2007
51103,165000.0,2007
1317,11250.0,2007
1897,81250.0,2007
39153,48250.0,2007
13287,27500.0,2007
51179,194500.0,2007
13321,3000.0,2007
18127,109000.0,2007
1221,18000.0,2007
911,30750.0,2007
5195,239250.0,2007
5115,537500.0,2007
51117,492000.0,2007
51199,1817750.0,2007
5141,546250.0,2007
5147,287750.0,2007
323,4.6111815E7,2007
5181,38750.0,2007
5027,36435.0,2007
51185,764500.0,2007
679,1147483.55,2007
48245,11000.0,2007
39151,42725.0,2007
2425,13250.0,2007
2443,1033500.0,2007
3671,1134250.0,2007
3935,461700.0,2007
2817,33750.0,2007
13131,15000.0,2007
1299,798000.0,2007
12103,5076285.0,2007
1845,82000.0,2007
3627,1821325.0,2007
1313,76500.0,2007
1381,750.0,2007
4215,519000.0,2007
36123,94750.0,2007
5017,4750.0,2007
3651,392500.0,2008
12133,10000.0,2008
363,349000.0,2008
3677,555750.0,2008
51600,2691500.0,2008
3421,2248750.0,2008
51147,9500.0,2008
17195,20750.0,2008
3783,17500.0,2008
5471,438900.0,2008
1865,8500.0,2008
17141,36750.0,2008
139,80000.0,2008
3611,118250.0,2008
3621,1459450.0,2008
507,785905.0,2008
3699,15250.0,2008
4217,5120850.0,2008
3667,3014650.0,2008
341,1623750.0,2008
2447,879750.0,2008
2419,1367250.0,2008
1831,6000.0,2008
13253,8750.0,2008
42107,3239975.0,2008
3653,439750.0,2008
3415,2910665.0,2008
5015,182000.0,2008
17113,27500.0,2008
51127,154500.0,2008
4289,6124000.0,2008
13277,43000.0,2008
1891,42250.0,2008
5023,150750.0,2008
3631,100750.0,2008
2445,4547250.0,2008
2521,307000.0,2008
51105,37750.0,2008
1731,1185450.0,2008
39135,10000.0,2008
51171,63750.0,2008
3635,104750.0,2008
3425,2770725.0,2008
429,60500.0,2008
235,34565.0,2008
2527,133184.2,2008
5113,417500.0,2008
5447,218233.55,2008
183,12750.0,2008
3623,398750.0,2008
1881,108150.0,2008
5151,30000.0,2008
339,1000.0,2008
4291,7502580.0,2008
3441,636000.0,2008
4237,430000.0,2008
39151,62725.0,2008
55103,68250.0,2008
673,7.61685E7,2008
51520,21000.0,2008
42101,7952250.0,2008
187,67500.0,2008
51125,88250.0,2008
2515,130000.0,2008
51141,195750.0,2008
5127,148750.0,2008
3993,607025.0,2008
517,30500.0,2008
5161,635250.0,2008
369,121000.0,2008
28153,45000.0,2008
5185,172000.0,2008
3673,98250.0,2008
3411,555565.0,2008
3427,3344000.0,2008
3657,266250.0,2008
4821,3750.0,2008
36109,481000.0,2008
18131,23250.0,2008
36119,2828785.0,2008
543,361000.0,2008
3413,4399000.0,2008
3675,1068500.0,2008
3941,48000.0,2008
13295,45000.0,2008
333,60250.0,2008
1797,73250.0,2008
1321,270000.0,2008
51191,103500.0,2008
1263,22500.0,2008
4211,3377995.0,2008
42109,85500.0,2008
4235,1708500.0,2008
48277,63750.0,2008
5171,232725.0,2008
3949,194500.0,2008
1351,3750.0,2008
3613,425750.0,2008
4269,3709159.2,2008
2429,139000.0,2008
5173,1287250.0,2008
17123,15750.0,2008
121,5000.0,2008
17105,189750.0,2008
1729,500.0,2008
1889,296400.0,2008
135,3750.0,2008
55135,18000.0,2008
51101,43750.0,2008
13235,8750.0,2008
42117,619000.0,2008
3639,804500.0,2008
27157,10000.0,2008
36101,120000.0,2008
42131,114500.0,2008
105,1.4159535E7,2008
36111,652200.0,2008
40119,3750.0,2008
349,708725.0,2008
367,2231475.0,2008
5157,53750.0,2008
39139,43225.0,2008
1737,15250.0,2008
323,1.312532475E7,2008
1387,15000.0,2008
3697,32500.0,2008
39103,54000.0,2008
51167,783750.0,2008
3659,1.2995385E7,2008
4241,340250.0,2008
5427,217250.0,2008
393,3750.0,2008
1873,220950.0,2008
51195,161750.0,2008
3417,398810.0,2008
345,2661250.0,2008
39143,9750.0,2008
1757,750.0,2008
3669,644975.0,2008
1371,60225.0,2008
15,10000.0,2008
51187,1039000.0,2008
39157,99500.0,2008
4757,5000.0,2008
3643,687500.0,2008
4229,1464288.55,2008
659,1.280580775E7,2008
3629,1384510.0,2008
3615,49250.0,2008
39169,25750.0,2008
5025,180500.0,2008
1775,292250.0,2008
637,2.80862197E7,2008
5579,12000.0,2008
42133,811475.0,2008
51155,81450.0,2008
503,274500.0,2008
5121,1015500.0,2008
3637,481000.0,2008
3693,787500.0,2008
3423,2838680.0,2008
1791,98750.0,2008
671,8303858.55,2008
17203,122250.0,2008
161,3750.0,2008
3319,6250.0,2008
1773,18750.0,2008
1789,212250.0,2008
2329,135000.0,2008
13315,5750.0,2008
2517,950750.0,2008
51133,32000.0,2008
3695,140500.0,2008
4271,76750.0,2008
42119,307750.0,2008
2427,2466250.0,2008
36105,1257250.0,2008
2439,37000.0,2008
3439,2249900.0,2008
3679,122733.55,2008
3945,66500.0,2008
237,57000.0,2008
13135,3750.0,2008
18109,1250.0,2008
18111,42500.0,2008
1817,66000.0,2008
5193,4000.0,2008
1853,45750.0,2008
3687,1652250.0,2008
683,8075660.0,2008
249,201250.0,2008
36115,676340.0,2008
241,567500.0,2008
5137,87000.0,2008
51177,497500.0,2008
48201,105000.0,2008
3317,16500.0,2008
347,5850140.0,2008
4281,1300250.0,2008
167,20000.0,2008
4277,3342315.0,2008
5423,536000.0,2008
4225,366500.0,2008
421,98500.0,2008
3633,167250.0,2008
91,120000.0,2008
131,33750.0,2008
1369,7750.0,2008
51197,1926750.0,2008
36107,192000.0,2008
5455,1458000.0,2008
5133,18000.0,2008
51161,192500.0,2008
3977,98725.0,2008
5169,140500.0,2008
5021,87750.0,2008
3997,3750.0,2008
3313,145250.0,2008
4297,3585975.0,2008
13205,12500.0,2008
3617,138500.0,2008
5187,755250.0,2008
5175,231000.0,2008
513,27500.0,2008
243,6690750.0,2008
1835,2500.0,2008
18157,500.0,2008
3431,3873184.2,2008
2431,6552390.0,2008
169,5000.0,2008
361,2297510.0,2008
259,204740.0,2008
2421,2107250.0,2008
36103,9272130.0,2008
13233,55000.0,2008
51173,14000.0,2008
413,397500.0,2008
1113,20750.0,2008
101,2186000.0,2008
3665,1488060.0,2008
39175,189750.0,2008
5189,57100.0,2008
4245,3699000.0,2008
28121,3000.0,2008
3683,805975.0,2008
51199,203500.0,2008
5431,12500.0,2008
13313,5000.0,2008
3619,1167125.0,2008
505,99750.0,2008
5561,5250.0,2008
3691,932825.0,2008
39113,10500.0,2008
5011,364500.0,2008
2411,1799950.0,2008
5457,869500.0,2008
5181,16750.0,2008
5465,566500.0,2008
5123,30000.0,2008
4275,65750.0,2008
133,11250.0,2008
13275,27250.0,2008
4283,30000.0,2008
2413,1605500.0,2008
3429,3857725.0,2008
5119,516000.0,2008
1815,20500.0,2008
51760,9500.0,2008
2441,445750.0,2008
3985,264750.0,2008
4255,340750.0,2008
2319,4535500.0,2008
42115,7750.0,2008
39165,33500.0,2008
17155,13750.0,2008
3925,5000.0,2008
5019,144000.0,2008
2423,19500.0,2008
629,3476233.55,2008
501,65785.0,2008
51153,1406500.0,2008
39133,33750.0,2008
51193,153500.0,2008
5437,12500.0,2008
42127,873750.0,2008
627,605750.0,2008
253,359000.0,2008
4591,3750.0,2008
511,8000.0,2008
5125,53250.0,2008
2991,7725.0,2008
3645,365500.0,2008
42103,800750.0,2008
55111,228750.0,2008
51107,1891250.0,2008
1743,148450.0,2008
4279,6298000.0,2008
397,28250.0,2008
1395,1000.0,2008
17179,7500.0,2008
6111,6748500.0,2008
51121,39250.0,2008
3435,605500.0,2008
3437,1228750.0,2008
3311,99250.0,2008
187,5000.0,2008
625,2500.0,2008
36117,284250.0,2008
3625,440659.2,2008
1863,3750.0,2008
395,5750.0,2008
3419,196500.0,2008
51131,9000.0,2008
3649,46500.0,2008
2425,75000.0,2008
245,1.957143355E7,2008
3943,141875.0,2008
2513,4000.0,2008
3955,24250.0,2008
343,5053465.0,2008
3957,5225.0,2008
95,4500.0,2008
1117,225.0,2008
51139,170500.0,2008
36113,533851.95,2008
13173,5000.0,2008
48203,500.0,2008
3915,11000.0,2008
4293,472500.0,2008
55133,9250.0,2008
4295,3427890.0,2008
1763,33000.0,2008
3663,1176250.0,2008
103,4392500.0,2008
3919,10000.0,2008
3655,6530725.0,2008
3223,229000.0,2008
17197,388250.0,2008
51165,322750.0,2008
2417,2235208.55,2008
3433,350000.0,2008
51103,18500.0,2008
1317,16250.0,2008
1897,72725.0,2008
39153,62500.0,2008
13287,7500.0,2008
51179,209000.0,2008
51135,500.0,2008
18127,291750.0,2008
5195,130500.0,2008
13299,10000.0,2008
5115,490750.0,2008
665,4187217.1,2008
5141,916500.0,2008
5147,405000.0,2008
51775,191500.0,2008
17201,5500.0,2008
1257,125000.0,2008
5027,146018.55,2008
5163,4500.0,2008
51185,38000.0,2008
679,1204250.0,2008
2443,762225.0,2008
3671,1472250.0,2008
3935,312500.0,2008
13131,15000.0,2008
3627,2266342.1,2008
1313,30000.0,2008
5183,2000.0,2008
4215,146000.0,2008
36123,3000.0,2008
5017,5000.0,2008
2875,10000.0,2009
3651,215750.0,2009
363,280000.0,2009
4755,5000.0,2009
3677,896500.0,2009
51600,3342500.0,2009
3755,49250.0,2009
51147,58000.0,2009
17195,29000.0,2009
3783,25000.0,2009
5471,380250.0,2009
17141,90500.0,2009
139,120000.0,2009
3611,133750.0,2009
3621,544250.0,2009
507,1247750.0,2009
3957,27250.0,2009
3699,305750.0,2009
3667,2614640.0,2009
2447,1086750.0,2009
2419,381733.55,2009
1831,29500.0,2009
13253,13750.0,2009
42107,54000.0,2009
3653,327500.0,2009
5015,44000.0,2009
17113,12750.0,2009
51127,83250.0,2009
5131,2000.0,2009
13277,37225.0,2009
5023,307000.0,2009
3631,94750.0,2009
2445,4714733.55,2009
2521,38000.0,2009
51105,60500.0,2009
1731,1018750.0,2009
1365,125000.0,2009
8101,7500.0,2009
51171,268000.0,2009
39175,97000.0,2009
3635,155250.0,2009
429,217000.0,2009
3791,3250.0,2009
1737,31750.0,2009
2527,104500.0,2009
39117,22750.0,2009
5113,201250.0,2009
5447,230250.0,2009
517,87500.0,2009
3623,345500.0,2009
1881,10000.0,2009
5151,71101.95,2009
3441,4500.0,2009
4237,631000.0,2009
3749,4500.0,2009
39151,83775.0,2009
2413,4624000.0,2009
673,6.10360526E7,2009
187,33250.0,2009
39145,750.0,2009
51125,47500.0,2009
2515,132000.0,2009
51141,193750.0,2009
4285,10000.0,2009
3993,401650.0,2009
183,56250.0,2009
5161,416600.0,2009
369,116000.0,2009
5185,149500.0,2009
3673,114250.0,2009
5127,893250.0,2009
51111,10000.0,2009
3657,173000.0,2009
3941,40900.0,2009
36109,193750.0,2009
3427,3000.0,2009
36119,2993415.0,2009
543,67250.0,2009
55133,104000.0,2009
333,8500.0,2009
4551,5000.0,2009
1797,108000.0,2009
51191,375875.0,2009
1263,10000.0,2009
4211,6000.0,2009
42109,430250.0,2009
4235,1533483.55,2009
5171,157500.0,2009
3949,278750.0,2009
3613,223500.0,2009
4269,2679550.0,2009
145,80000.0,2009
2429,158800.0,2009
5173,355500.0,2009
17123,37500.0,2009
121,2500.0,2009
17105,81000.0,2009
1889,121475.0,2009
135,5000.0,2009
55135,8000.0,2009
51101,256000.0,2009
42117,368000.0,2009
3639,347500.0,2009
27157,41750.0,2009
36101,33000.0,2009
3629,1717025.0,2009
105,1.45152E7,2009
36111,645725.0,2009
40119,47500.0,2009
367,3025750.0,2009
5157,6750.0,2009
323,1.15449E7,2009
1387,42500.0,2009
3697,50000.0,2009
39103,82500.0,2009
51167,1532500.0,2009
1775,58750.0,2009
4241,622000.0,2009
5427,752500.0,2009
1865,7250.0,2009
51195,239750.0,2009
39143,8500.0,2009
3669,661475.0,2009
1371,55725.0,2009
15,17500.0,2009
51187,1807000.0,2009
39157,193000.0,2009
3643,808475.0,2009
659,1.11656465E7,2009
42131,193000.0,2009
3615,65250.0,2009
39169,10225.0,2009
5025,245500.0,2009
3659,1.553975E7,2009
637,4.23573742E7,2009
5579,241700.0,2009
131,3750.0,2009
42133,730500.0,2009
51155,135750.0,2009
503,387500.0,2009
5121,232000.0,2009
47173,18750.0,2009
3637,297250.0,2009
2525,13000.0,2009
3693,1669400.0,2009
1791,90250.0,2009
671,4233850.0,2009
17203,70000.0,2009
3319,3250.0,2009
1773,20000.0,2009
1789,73750.0,2009
2329,24000.0,2009
13315,2500.0,2009
2517,1706500.0,2009
51133,36750.0,2009
3695,149000.0,2009
2441,122750.0,2009
42119,227815.0,2009
2427,6212500.0,2009
36105,308250.0,2009
13185,17500.0,2009
2439,36225.0,2009
5557,4000.0,2009
39133,5650.0,2009
3679,248750.0,2009
3945,160750.0,2009
51750,4500.0,2009
5167,1750.0,2009
255,8000.0,2009
1817,19250.0,2009
5193,226250.0,2009
4289,7097140.0,2009
1853,119500.0,2009
3687,3038250.0,2009
683,1.2405E7,2009
249,578500.0,2009
36115,212200.0,2009
241,668250.0,2009
5137,85750.0,2009
51177,1070000.0,2009
48201,105000.0,2009
3317,16000.0,2009
4281,1701810.0,2009
5423,391000.0,2009
421,262250.0,2009
3633,308750.0,2009
91,143000.0,2009
1369,61250.0,2009
36107,157000.0,2009
5455,1820000.0,2009
5133,135000.0,2009
51161,589950.0,2009
3977,101400.0,2009
5169,509500.0,2009
5021,351500.0,2009
3313,25250.0,2009
4297,1278750.0,2009
51197,698750.0,2009
3617,337810.0,2009
5187,1212000.0,2009
5175,78000.0,2009
13153,26250.0,2009
243,6966040.0,2009
18157,10500.0,2009
3431,51000.0,2009
51137,10000.0,2009
2431,4375500.0,2009
93,3250.0,2009
12123,900.0,2009
17155,14250.0,2009
629,1273750.0,2009
361,1411750.0,2009
259,284250.0,2009
2421,1992250.0,2009
36103,1.28240513E7,2009
413,258780.0,2009
5425,10500.0,2009
1113,8000.0,2009
101,1037500.0,2009
3665,1004700.0,2009
5189,18250.0,2009
28121,20000.0,2009
3683,602465.0,2009
51199,276000.0,2009
5431,131250.0,2009
17143,5000.0,2009
3619,687750.0,2009
505,323000.0,2009
5561,9750.0,2009
3691,1594361.15,2009
39113,12500.0,2009
5011,13500.0,2009
2411,1256250.0,2009
5457,915000.0,2009
5465,15250.0,2009
5123,387000.0,2009
4275,4000.0,2009
133,3750.0,2009
13275,19000.0,2009
4283,111000.0,2009
55103,21000.0,2009
51520,184750.0,2009
1815,6250.0,2009
51760,17000.0,2009
3985,166700.0,2009
4255,958000.0,2009
13169,2500.0,2009
2319,4650250.0,2009
42115,81500.0,2009
39165,87525.0,2009
39139,106250.0,2009
3223,418500.0,2009
5019,87500.0,2009
2423,171500.0,2009
169,103750.0,2009
1391,3000.0,2009
37139,6000.0,2009
501,177250.0,2009
51153,2102950.0,2009
18137,47250.0,2009
6111,6969785.0,2009
5437,999500.0,2009
42127,949750.0,2009
627,905500.0,2009
253,696000.0,2009
511,25750.0,2009
51775,701500.0,2009
3645,298250.0,2009
42103,329140.0,2009
513,76500.0,2009
55111,73000.0,2009
51107,1533500.0,2009
1743,190200.0,2009
4279,4111042.75,2009
397,75000.0,2009
1375,5000.0,2009
3933,51250.0,2009
17179,5000.0,2009
51193,35750.0,2009
51121,367750.0,2009
5125,45000.0,2009
625,44483.55,2009
3311,125500.0,2009
187,5000.0,2009
3437,12500.0,2009
36117,660500.0,2009
3625,287500.0,2009
1863,15250.0,2009
395,23500.0,2009
3419,4000.0,2009
51131,129500.0,2009
3649,209000.0,2009
2425,70000.0,2009
245,1.6550417100000001E7,2009
3943,357175.0,2009
3955,72750.0,2009
343,216000.0,2009
131,3750.0,2009
51139,165250.0,2009
36113,1013750.0,2009
13173,20000.0,2009
4293,296000.0,2009
3675,2201200.0,2009
4295,32000.0,2009
1763,46500.0,2009
3663,1067500.0,2009
103,1093500.0,2009
3919,47750.0,2009
5521,45500.0,2009
3655,7440483.55,2009
2325,7500.0,2009
17197,727475.0,2009
51165,1023000.0,2009
2417,1890500.0,2009
519,43250.0,2009
13135,10000.0,2009
51103,7250.0,2009
