State,State_Abr,Opioid_Factor,Crime_Percent,Homeless_Percent,Average_Income,Unemployment_Percent,Population,Year
Virginia,VA,17200000000,2.72,0.13,71824,3.2,7751000,2007
Colorado,CO,8460000000,3.39,0.3,74228,4.4,4803868,2007
California,CA,556000000000,0.53,0.38,67664,5.5,36250311,2007
Alabama,AL,25400000000,4.16,0.12,51248,3.7,4672840,2007
Arkansas,AR,7600000000,4.48,0.13,49527,6,2848650,2007
Vermont,VT,1190000000,2.42,0.17,57534,4.8,623481,2007
Illinois,IL,19700000000,3.51,0.12,63745,5.2,12695866,2007
Georgia,GA,174000000000,4.49,0.21,59053,4.5,9349988,2007
Indiana,IN,24500000000,3.71,0.12,57610,5.4,6379599,2007
Iowa,IA,3610000000,2.9,0.09,59377,4.7,2999212,2007
Arizona,AZ,25900000000,4.49,0.24,57321,4,6167681,2007
Idaho,ID,3470000000,2.48,0.12,59712,4,1505105,2007
Connecticut,CT,8820000000,2.64,0.13,77870,5,3527270,2007
New Jersey,NJ,27800000000,2.54,0.2,73460,4.8,8677885,2007
New Mexico,NM,6720000000,4.35,0.15,53850,3.9,1990070,2007
Texas,TX,67500000000,4.65,0.17,55911,4.8,23831983,2007
Louisiana,LA,19400000000,4.69,0.13,50156,4.5,4375581,2007
North Carolina,NC,96600000000,4.53,0.13,52827,5,9118037,2007
North Dakota,ND,7370000000,1.99,0.1,57309,4,652822,2007
Nebraska,NE,2300000000,3.33,0.2,59700,3.7,1783440,2007
Tennessee,TN,42000000000,4.83,0.18,50013,5.2,6175727,2007
New York,NY,37300000000,2.41,0.33,59421,5,19132335,2007
Pennsylvania,PA,34500000000,2.75,0.13,58805,5,12563937,2007
Alaska,AK,1180000000,3.96,0.24,76477,7.1,680300,2007
Nevada,NV,11200000000,4.47,0.33,65629,4.9,2601072,2007
New Hampshire,NH,3560000000,2.03,0.17,82041,4.3,1312540,2007
Washington,WA,19100000000,4.38,0.36,70512,5.4,6461587,2007
Delaware,DE,2620000000,4.03,0.12,66274,3.8,871749,2007
Wisconsin,WI,7430000000,3.07,0.1,62253,5.5,5610775,2007
West Virginia,WV,7440000000,2.77,0.13,51101,5.1,1834052,2007
Hawaii,HI,2970000000,4.39,0.46,77726,2.3,1315675,2007
Massachusetts,MA,13200000000,2.83,0.24,70977,5.5,6431559,2007
Florida,FL,192000000000,4.78,0.25,55596,3.7,18367842,2007
Wyoming,WY,1270000000,3.04,0.1,59178,4,534876,2007
Maine,ME,3660000000,2.52,0.2,58146,5.4,1327040,2007
Maryland,MD,17700000000,4.05,0.17,79678,4.1,5653408,2007
Oklahoma,OK,11300000000,4.01,0.12,52466,4.7,3634349,2007
Ohio,OH,35600000000,3.79,0.1,59609,6.2,11500468,2007
Utah,UT,6870000000,3.8,0.12,64987,2.8,2597746,2007
Missouri,MO,44800000000,4.24,0.11,55852,5.2,5887612,2007
Minnesota,MN,8180000000,3.32,0.14,70485,5.4,5207203,2007
Michigan,MI,20100000000,3.63,0.28,59938,7.8,10001284,2007
Rhode Island,RI,1880000000,2.85,0.13,65814,5.8,1057315,2007
Kansas,KS,13100000000,4.12,0.08,58878,4.5,2783785,2007
Montana,MT,3130000000,2.93,0.12,52999,4.1,964706,2007
Mississippi,MS,12900000000,3.48,0.05,45259,6.9,2928350,2007
South Carolina,SC,131000000000,5.02,0.13,53499,6.4,4444110,2007
Kentucky,KY,30100000000,2.8,0.19,47897,6.5,4256672,2007
Oregon,OR,13800000000,3.84,0.47,60989,5.9,3722417,2007
South Dakota,SD,1140000000,1.82,0.07,56354,3.7,791623,2007
Virginia,VA,24200000000,2.72,0.13,71824,3.2,7751000,2008
Colorado,CO,10200000000,3.39,0.3,74228,4.4,4803868,2008
California,CA,542000000000,0.53,0.38,67664,5.5,36250311,2008
Alabama,AL,15400000000,4.16,0.12,51248,3.7,4672840,2008
Arkansas,AR,7140000000,4.48,0.13,49527,6,2848650,2008
Vermont,VT,1220000000,2.42,0.17,57534,4.8,623481,2008
Illinois,IL,27300000000,3.51,0.12,63745,5.2,12695866,2008
Georgia,GA,230000000000,4.49,0.21,59053,4.5,9349988,2008
Indiana,IN,19600000000,3.71,0.12,57610,5.4,6379599,2008
Iowa,IA,4100000000,2.9,0.09,59377,4.7,2999212,2008
Arizona,AZ,26000000000,4.49,0.24,57321,4,6167681,2008
Idaho,ID,3640000000,2.48,0.12,59712,4,1505105,2008
Connecticut,CT,8140000000,2.64,0.13,77870,5,3527270,2008
New Jersey,NJ,30300000000,2.54,0.2,73460,4.8,8677885,2008
New Mexico,NM,6820000000,4.35,0.15,53850,3.9,1990070,2008
Texas,TX,89900000000,4.65,0.17,55911,4.8,23831983,2008
Louisiana,LA,17300000000,4.69,0.13,50156,4.5,4375581,2008
North Carolina,NC,71200000000,4.53,0.13,52827,5,9118037,2008
North Dakota,ND,6480000000,1.99,0.1,57309,4,652822,2008
Nebraska,NE,2080000000,3.33,0.2,59700,3.7,1783440,2008
Tennessee,TN,37700000000,4.83,0.18,50013,5.2,6175727,2008
New York,NY,34200000000,2.41,0.33,59421,5,19132335,2008
Pennsylvania,PA,38100000000,2.75,0.13,58805,5,12563937,2008
Alaska,AK,2130000000,3.96,0.24,76477,7.1,680300,2008
Nevada,NV,12400000000,4.47,0.33,65629,4.9,2601072,2008
New Hampshire,NH,4750000000,2.03,0.17,82041,4.3,1312540,2008
Washington,WA,21600000000,4.38,0.36,70512,5.4,6461587,2008
Delaware,DE,2320000000,4.03,0.12,66274,3.8,871749,2008
Wisconsin,WI,8670000000,3.07,0.1,62253,5.5,5610775,2008
West Virginia,WV,8170000000,2.77,0.13,51101,5.1,1834052,2008
Hawaii,HI,3340000000,4.39,0.46,77726,2.3,1315675,2008
Massachusetts,MA,13800000000,2.83,0.24,70977,5.5,6431559,2008
Florida,FL,295000000000,4.78,0.25,55596,3.7,18367842,2008
Wyoming,WY,1070000000,3.04,0.1,59178,4,534876,2008
Maine,ME,3360000000,2.52,0.2,58146,5.4,1327040,2008
Maryland,MD,15700000000,4.05,0.17,79678,4.1,5653408,2008
Oklahoma,OK,28700000000,4.01,0.12,52466,4.7,3634349,2008
Ohio,OH,86000000000,3.79,0.1,59609,6.2,11500468,2008
Utah,UT,7910000000,3.8,0.12,64987,2.8,2597746,2008
Missouri,MO,33000000000,4.24,0.11,55852,5.2,5887612,2008
Minnesota,MN,5620000000,3.32,0.14,70485,5.4,5207203,2008
Michigan,MI,32100000000,3.63,0.28,59938,7.8,10001284,2008
Rhode Island,RI,2630000000,2.85,0.13,65814,5.8,1057315,2008
Kansas,KS,104000000000,4.12,0.08,58878,4.5,2783785,2008
Montana,MT,3870000000,2.93,0.12,52999,4.1,964706,2008
Mississippi,MS,14300000000,3.48,0.05,45259,6.9,2928350,2008
South Carolina,SC,225000000000,5.02,0.13,53499,6.4,4444110,2008
Kentucky,KY,88100000000,2.8,0.19,47897,6.5,4256672,2008
Oregon,OR,13700000000,3.84,0.47,60989,5.9,3722417,2008
South Dakota,SD,2230000000,1.82,0.07,56354,3.7,791623,2008
Virginia,VA,36200000000,2.72,0.13,71824,3.2,7751000,2009
Colorado,CO,11600000000,3.39,0.3,74228,4.4,4803868,2009
California,CA,472000000000,0.53,0.38,67664,5.5,36250311,2009
Alabama,AL,20400000000,4.16,0.12,51248,3.7,4672840,2009
Arkansas,AR,11800000000,4.48,0.13,49527,6,2848650,2009
Vermont,VT,99200000000,2.42,0.17,57534,4.8,623481,2009
Illinois,IL,66300000000,3.51,0.12,63745,5.2,12695866,2009
Georgia,GA,186000000000,4.49,0.21,59053,4.5,9349988,2009
Indiana,IN,20000000000,3.71,0.12,57610,5.4,6379599,2009
Iowa,IA,4260000000,2.9,0.09,59377,4.7,2999212,2009
Arizona,AZ,36000000000,4.49,0.24,57321,4,6167681,2009
Idaho,ID,14100000000,2.48,0.12,59712,4,1505105,2009
Connecticut,CT,6780000000,2.64,0.13,77870,5,3527270,2009
New Jersey,NJ,136000000000,2.54,0.2,73460,4.8,8677885,2009
New Mexico,NM,10700000000,4.35,0.15,53850,3.9,1990070,2009
Texas,TX,159000000000,4.65,0.17,55911,4.8,23831983,2009
Louisiana,LA,27300000000,4.69,0.13,50156,4.5,4375581,2009
North Carolina,NC,93500000000,4.53,0.13,52827,5,9118037,2009
North Dakota,ND,10200000000,1.99,0.1,57309,4,652822,2009
Nebraska,NE,4470000000,3.33,0.2,59700,3.7,1783440,2009
Tennessee,TN,43100000000,4.83,0.18,50013,5.2,6175727,2009
New York,NY,34200000000,2.41,0.33,59421,5,19132335,2009
Pennsylvania,PA,73900000000,2.75,0.13,58805,5,12563937,2009
Alaska,AK,1570000000,3.96,0.24,76477,7.1,680300,2009
Nevada,NV,11200000000,4.47,0.33,65629,4.9,2601072,2009
New Hampshire,NH,3340000000,2.03,0.17,82041,4.3,1312540,2009
Washington,WA,24700000000,4.38,0.36,70512,5.4,6461587,2009
Delaware,DE,2970000000,4.03,0.12,66274,3.8,871749,2009
Wisconsin,WI,11900000000,3.07,0.1,62253,5.5,5610775,2009
West Virginia,WV,25700000000,2.77,0.13,51101,5.1,1834052,2009
Hawaii,HI,2450000000,4.39,0.46,77726,2.3,1315675,2009
Massachusetts,MA,12700000000,2.83,0.24,70977,5.5,6431559,2009
Florida,FL,341000000000,4.78,0.25,55596,3.7,18367842,2009
Wyoming,WY,2890000000,3.04,0.1,59178,4,534876,2009
Maine,ME,3710000000,2.52,0.2,58146,5.4,1327040,2009
Maryland,MD,21900000000,4.05,0.17,79678,4.1,5653408,2009
Oklahoma,OK,43600000000,4.01,0.12,52466,4.7,3634349,2009
Ohio,OH,100000000000,3.79,0.1,59609,6.2,11500468,2009
Utah,UT,9330000000,3.8,0.12,64987,2.8,2597746,2009
Missouri,MO,38500000000,4.24,0.11,55852,5.2,5887612,2009
Minnesota,MN,20800000000,3.32,0.14,70485,5.4,5207203,2009
Michigan,MI,43900000000,3.63,0.28,59938,7.8,10001284,2009
Rhode Island,RI,3110000000,2.85,0.13,65814,5.8,1057315,2009
Kansas,KS,14300000000,4.12,0.08,58878,4.5,2783785,2009
Montana,MT,4640000000,2.93,0.12,52999,4.1,964706,2009
Mississippi,MS,17600000000,3.48,0.05,45259,6.9,2928350,2009
South Carolina,SC,254000000000,5.02,0.13,53499,6.4,4444110,2009
Kentucky,KY,105000000000,2.8,0.19,47897,6.5,4256672,2009
Oregon,OR,14600000000,3.84,0.47,60989,5.9,3722417,2009
South Dakota,SD,1870000000,1.82,0.07,56354,3.7,791623,2009
Virginia,VA,24300000000,2.72,0.13,71824,3.2,7751000,2010
Colorado,CO,12900000000,3.39,0.3,74228,4.4,4803868,2010
California,CA,678000000000,0.53,0.38,67664,5.5,36250311,2010
Alabama,AL,22300000000,4.16,0.12,51248,3.7,4672840,2010
Arkansas,AR,10400000000,4.48,0.13,49527,6,2848650,2010
Vermont,VT,1730000000,2.42,0.17,57534,4.8,623481,2010
Illinois,IL,85000000000,3.51,0.12,63745,5.2,12695866,2010
Georgia,GA,196000000000,4.49,0.21,59053,4.5,9349988,2010
Indiana,IN,24900000000,3.71,0.12,57610,5.4,6379599,2010
Iowa,IA,6410000000,2.9,0.09,59377,4.7,2999212,2010
Arizona,AZ,29000000000,4.49,0.24,57321,4,6167681,2010
Idaho,ID,5720000000,2.48,0.12,59712,4,1505105,2010
Connecticut,CT,6520000000,2.64,0.13,77870,5,3527270,2010
New Jersey,NJ,73500000000,2.54,0.2,73460,4.8,8677885,2010
New Mexico,NM,9520000000,4.35,0.15,53850,3.9,1990070,2010
Texas,TX,190000000000,4.65,0.17,55911,4.8,23831983,2010
Louisiana,LA,26200000000,4.69,0.13,50156,4.5,4375581,2010
North Carolina,NC,116000000000,4.53,0.13,52827,5,9118037,2010
North Dakota,ND,9420000000,1.99,0.1,57309,4,652822,2010
Nebraska,NE,3540000000,3.33,0.2,59700,3.7,1783440,2010
Tennessee,TN,44000000000,4.83,0.18,50013,5.2,6175727,2010
New York,NY,37200000000,2.41,0.33,59421,5,19132335,2010
Pennsylvania,PA,56800000000,2.75,0.13,58805,5,12563937,2010
Alaska,AK,1670000000,3.96,0.24,76477,7.1,680300,2010
Nevada,NV,13500000000,4.47,0.33,65629,4.9,2601072,2010
New Hampshire,NH,3710000000,2.03,0.17,82041,4.3,1312540,2010
Washington,WA,109000000000,4.38,0.36,70512,5.4,6461587,2010
Delaware,DE,3030000000,4.03,0.12,66274,3.8,871749,2010
Wisconsin,WI,14300000000,3.07,0.1,62253,5.5,5610775,2010
West Virginia,WV,84200000000,2.77,0.13,51101,5.1,1834052,2010
Hawaii,HI,2920000000,4.39,0.46,77726,2.3,1315675,2010
Massachusetts,MA,11900000000,2.83,0.24,70977,5.5,6431559,2010
Florida,FL,694000000000,4.78,0.25,55596,3.7,18367842,2010
Wyoming,WY,1420000000,3.04,0.1,59178,4,534876,2010
Maine,ME,4500000000,2.52,0.2,58146,5.4,1327040,2010
Maryland,MD,19300000000,4.05,0.17,79678,4.1,5653408,2010
Oklahoma,OK,18700000000,4.01,0.12,52466,4.7,3634349,2010
Ohio,OH,47300000000,3.79,0.1,59609,6.2,11500468,2010
Utah,UT,9170000000,3.8,0.12,64987,2.8,2597746,2010
Missouri,MO,29000000000,4.24,0.11,55852,5.2,5887612,2010
Minnesota,MN,9450000000,3.32,0.14,70485,5.4,5207203,2010
Michigan,MI,43000000000,3.63,0.28,59938,7.8,10001284,2010
Rhode Island,RI,2420000000,2.85,0.13,65814,5.8,1057315,2010
Kansas,KS,26100000000,4.12,0.08,58878,4.5,2783785,2010
Montana,MT,3860000000,2.93,0.12,52999,4.1,964706,2010
Mississippi,MS,20300000000,3.48,0.05,45259,6.9,2928350,2010
South Carolina,SC,174000000000,5.02,0.13,53499,6.4,4444110,2010
Kentucky,KY,131000000000,2.8,0.19,47897,6.5,4256672,2010
Oregon,OR,22900000000,3.84,0.47,60989,5.9,3722417,2010
South Dakota,SD,1290000000,1.82,0.07,56354,3.7,791623,2010
Virginia,VA,23900000000,2.72,0.13,71824,3.2,7751000,2011
Colorado,CO,13000000000,3.39,0.3,74228,4.4,4803868,2011
California,CA,756000000000,0.53,0.38,67664,5.5,36250311,2011
Alabama,AL,23400000000,4.16,0.12,51248,3.7,4672840,2011
Arkansas,AR,14500000000,4.48,0.13,49527,6,2848650,2011
Vermont,VT,1690000000,2.42,0.17,57534,4.8,623481,2011
Illinois,IL,43600000000,3.51,0.12,63745,5.2,12695866,2011
Georgia,GA,342000000000,4.49,0.21,59053,4.5,9349988,2011
Indiana,IN,21900000000,3.71,0.12,57610,5.4,6379599,2011
Iowa,IA,6000000000,2.9,0.09,59377,4.7,2999212,2011
Arizona,AZ,31300000000,4.49,0.24,57321,4,6167681,2011
Idaho,ID,4380000000,2.48,0.12,59712,4,1505105,2011
Connecticut,CT,7370000000,2.64,0.13,77870,5,3527270,2011
New Jersey,NJ,96300000000,2.54,0.2,73460,4.8,8677885,2011
New Mexico,NM,8620000000,4.35,0.15,53850,3.9,1990070,2011
Texas,TX,149000000000,4.65,0.17,55911,4.8,23831983,2011
Louisiana,LA,31000000000,4.69,0.13,50156,4.5,4375581,2011
North Carolina,NC,128000000000,4.53,0.13,52827,5,9118037,2011
North Dakota,ND,7960000000,1.99,0.1,57309,4,652822,2011
Nebraska,NE,3280000000,3.33,0.2,59700,3.7,1783440,2011
Tennessee,TN,59700000000,4.83,0.18,50013,5.2,6175727,2011
New York,NY,58300000000,2.41,0.33,59421,5,19132335,2011
Pennsylvania,PA,74100000000,2.75,0.13,58805,5,12563937,2011
Alaska,AK,1370000000,3.96,0.24,76477,7.1,680300,2011
Nevada,NV,17700000000,4.47,0.33,65629,4.9,2601072,2011
New Hampshire,NH,3730000000,2.03,0.17,82041,4.3,1312540,2011
Washington,WA,22900000000,4.38,0.36,70512,5.4,6461587,2011
Delaware,DE,3350000000,4.03,0.12,66274,3.8,871749,2011
Wisconsin,WI,52400000000,3.07,0.1,62253,5.5,5610775,2011
West Virginia,WV,9660000000,2.77,0.13,51101,5.1,1834052,2011
Hawaii,HI,50000000000,4.39,0.46,77726,2.3,1315675,2011
Massachusetts,MA,12400000000,2.83,0.24,70977,5.5,6431559,2011
Florida,FL,359000000000,4.78,0.25,55596,3.7,18367842,2011
Wyoming,WY,1550000000,3.04,0.1,59178,4,534876,2011
Maine,ME,4320000000,2.52,0.2,58146,5.4,1327040,2011
Maryland,MD,17300000000,4.05,0.17,79678,4.1,5653408,2011
Oklahoma,OK,15700000000,4.01,0.12,52466,4.7,3634349,2011
Ohio,OH,44000000000,3.79,0.1,59609,6.2,11500468,2011
Utah,UT,9140000000,3.8,0.12,64987,2.8,2597746,2011
Missouri,MO,49100000000,4.24,0.11,55852,5.2,5887612,2011
Minnesota,MN,11700000000,3.32,0.14,70485,5.4,5207203,2011
Michigan,MI,115000000000,3.63,0.28,59938,7.8,10001284,2011
Rhode Island,RI,2730000000,2.85,0.13,65814,5.8,1057315,2011
Kansas,KS,60900000000,4.12,0.08,58878,4.5,2783785,2011
Montana,MT,4030000000,2.93,0.12,52999,4.1,964706,2011
Mississippi,MS,22900000000,3.48,0.05,45259,6.9,2928350,2011
South Carolina,SC,177000000000,5.02,0.13,53499,6.4,4444110,2011
Kentucky,KY,61600000000,2.8,0.19,47897,6.5,4256672,2011
Oregon,OR,16100000000,3.84,0.47,60989,5.9,3722417,2011
South Dakota,SD,2210000000,1.82,0.07,56354,3.7,791623,2011
Virginia,VA,45800000000,2.72,0.13,71824,3.2,7751000,2012
Colorado,CO,14400000000,3.39,0.3,74228,4.4,4803868,2012
California,CA,950000000000,0.53,0.38,67664,5.5,36250311,2012
Alabama,AL,130000000000,4.16,0.12,51248,3.7,4672840,2012
Arkansas,AR,12100000000,4.48,0.13,49527,6,2848650,2012
Vermont,VT,1760000000,2.42,0.17,57534,4.8,623481,2012
Illinois,IL,41200000000,3.51,0.12,63745,5.2,12695866,2012
Georgia,GA,302000000000,4.49,0.21,59053,4.5,9349988,2012
Indiana,IN,20100000000,3.71,0.12,57610,5.4,6379599,2012
Iowa,IA,5310000000,2.9,0.09,59377,4.7,2999212,2012
Arizona,AZ,30500000000,4.49,0.24,57321,4,6167681,2012
Idaho,ID,5310000000,2.48,0.12,59712,4,1505105,2012
Connecticut,CT,7050000000,2.64,0.13,77870,5,3527270,2012
New Jersey,NJ,37400000000,2.54,0.2,73460,4.8,8677885,2012
New Mexico,NM,9050000000,4.35,0.15,53850,3.9,1990070,2012
Texas,TX,82400000000,4.65,0.17,55911,4.8,23831983,2012
Louisiana,LA,20200000000,4.69,0.13,50156,4.5,4375581,2012
North Carolina,NC,116000000000,4.53,0.13,52827,5,9118037,2012
North Dakota,ND,8370000000,1.99,0.1,57309,4,652822,2012
Nebraska,NE,4050000000,3.33,0.2,59700,3.7,1783440,2012
Tennessee,TN,48300000000,4.83,0.18,50013,5.2,6175727,2012
New York,NY,43500000000,2.41,0.33,59421,5,19132335,2012
Pennsylvania,PA,76400000000,2.75,0.13,58805,5,12563937,2012
Alaska,AK,1500000000,3.96,0.24,76477,7.1,680300,2012
Nevada,NV,41100000000,4.47,0.33,65629,4.9,2601072,2012
New Hampshire,NH,3800000000,2.03,0.17,82041,4.3,1312540,2012
Washington,WA,26900000000,4.38,0.36,70512,5.4,6461587,2012
Delaware,DE,5510000000,4.03,0.12,66274,3.8,871749,2012
Wisconsin,WI,61700000000,3.07,0.1,62253,5.5,5610775,2012
West Virginia,WV,15300000000,2.77,0.13,51101,5.1,1834052,2012
Hawaii,HI,53600000000,4.39,0.46,77726,2.3,1315675,2012
Massachusetts,MA,12200000000,2.83,0.24,70977,5.5,6431559,2012
Florida,FL,159000000000,4.78,0.25,55596,3.7,18367842,2012
Wyoming,WY,2030000000,3.04,0.1,59178,4,534876,2012
Maine,ME,4340000000,2.52,0.2,58146,5.4,1327040,2012
Maryland,MD,42500000000,4.05,0.17,79678,4.1,5653408,2012
Oklahoma,OK,12000000000,4.01,0.12,52466,4.7,3634349,2012
Ohio,OH,43800000000,3.79,0.1,59609,6.2,11500468,2012
Utah,UT,10300000000,3.8,0.12,64987,2.8,2597746,2012
Missouri,MO,71600000000,4.24,0.11,55852,5.2,5887612,2012
Minnesota,MN,8420000000,3.32,0.14,70485,5.4,5207203,2012
Michigan,MI,33700000000,3.63,0.28,59938,7.8,10001284,2012
Rhode Island,RI,3330000000,2.85,0.13,65814,5.8,1057315,2012
Kansas,KS,18400000000,4.12,0.08,58878,4.5,2783785,2012
Montana,MT,3540000000,2.93,0.12,52999,4.1,964706,2012
Mississippi,MS,22800000000,3.48,0.05,45259,6.9,2928350,2012
South Carolina,SC,202000000000,5.02,0.13,53499,6.4,4444110,2012
Kentucky,KY,21800000000,2.8,0.19,47897,6.5,4256672,2012
Oregon,OR,17300000000,3.84,0.47,60989,5.9,3722417,2012
South Dakota,SD,1930000000,1.82,0.07,56354,3.7,791623,2012
,,,,,,,,
