State,State_Abr,Opioid_Factor,Crime_Percent,Homeless_Percent,Average_Income,Unemployment_Percent,Population,Year,z_score_AvgInc,z_score_Unem,z_score_Crime,z_score_Homeless,z_score_opioid,prediction
Virginia,VA,17200000000,2.72,0.13,71824,3.2,7751000,2007,1.4815909879773828,-1.6920381900986732,-0.6584762994708061,-0.4977549046992981,-0.4267069594808134,3
Colorado,CO,8460000000,3.39,0.3,74228,4.4,4803868,2007,1.745897202594096,-1.21436116027157,0.14600787384327518,1.3000850485347124,-0.4640875434803298,2
California,CA,556000000000,0.53,0.38,67664,5.5,36250311,2007,1.0242224967937192,-0.7764905495967255,-3.2880588958257886,2.1461273794683646,0.6440333306895855,2
Alabama,AL,25400000000,4.16,0.12,51248,3.7,4672840,2007,-0.7806239338002763,-1.4930060943373802,1.0705643118311001,-0.6035101960660048,-0.16417081030341996,0
Arkansas,AR,7600000000,4.48,0.13,49527,6.0,2848650,2007,-0.9698381581577487,-0.5774584538354325,1.4547955587870796,-0.4977549046992981,-0.3900712101626436,0
Vermont,VT,1190000000,2.42,0.17,57534,4.8,623481,2007,-0.0895137569780385,-1.0551354836625357,-1.0186930934920368,-0.07473373923247201,-0.4520439866598594,3
Illinois,IL,19700000000,3.51,0.12,63745,5.2,12695866,2007,0.5933505936810323,-0.8959098070535012,0.29009459145176697,-0.6035101960660048,-0.48117816820519915,3
Georgia,GA,174000000000,4.49,0.21,59053,4.5,9349988,2007,0.07749170891330404,-1.1745547411193116,1.4668027852544536,0.3482874262343538,0.9110791103304688,0
Indiana,IN,24500000000,3.71,0.12,57610,5.4,6379599,2007,-0.08115798646602926,-0.8162969687489839,0.5302391207992542,-0.6035101960660048,-0.29437789660480373,0
Iowa,IA,3610000000,2.9,0.09,59377,4.7,2999212,2007,0.11311367793818553,-1.0949419028147942,-0.44234622305806814,-0.9207760701661243,-0.5095846445377819,3
Arizona,AZ,25900000000,4.49,0.24,57321,4.0,6167681,2007,-0.11293190328143281,-1.3735868368806046,1.4668027852544536,0.6655533003344734,-0.26508129774135586,0
Idaho,ID,3470000000,2.48,0.12,59712,4.0,1505105,2007,0.1499450348003315,-1.3735868368806046,-0.9466497346877907,-0.6035101960660048,-0.4196535520691801,3
Connecticut,CT,8820000000,2.64,0.13,77870,5.0,3527270,2007,2.146314521077486,-0.9755226453580185,-0.754534111209801,-0.4977549046992981,-0.4037353269687378,3
New Jersey,NJ,27800000000,2.54,0.2,73460,4.8,8677885,2007,1.6614599426832657,-1.0551354836625357,-0.8746063758835445,0.24253213486764752,-0.34635473222295715,3
New Mexico,NM,6720000000,4.35,0.15,53850,3.9,1990070,2007,-0.4945487381128021,-1.413393256032863,1.298701614711212,-0.28624432196588523,-0.33221664856289557,0
Texas,TX,67500000000,4.65,0.17,55911,4.8,23831983,2007,-0.26795343514897263,-1.0551354836625357,1.6589184087324433,-0.07473373923247201,-0.3766531870466349,0
Louisiana,LA,19400000000,4.69,0.13,50156,4.5,4375581,2007,-0.9006831627359879,-1.1745547411193116,1.7069473146019407,-0.4977549046992981,-0.24595076595282733,0
North Carolina,NC,96600000000,4.53,0.13,52827,5.0,9118037,2007,-0.6070218069784001,-0.9755226453580185,1.514831691123951,-0.4977549046992981,0.25687970054485193,0
North Dakota,ND,7370000000,1.99,0.1,57309,4.0,652822,2007,-0.11425123546753953,-1.3735868368806046,-1.5350038315891337,-0.8150207787994177,0.3136101320352576,3
Nebraska,NE,2300000000,3.33,0.2,59700,3.7,1783440,2007,0.14862570261422478,-1.4930060943373802,0.07396451503902904,0.24253213486764752,-0.502565965161906,3
Tennessee,TN,42000000000,4.83,0.18,50013,5.2,6175727,2007,-0.9164052046204264,-0.8959098070535012,1.8750484851451812,0.03102155213423431,-0.05274818167765528,0
New York,NY,37300000000,2.41,0.33,59421,5.0,19132335,2007,0.1179512292872435,-0.9755226453580185,-1.030700319959411,1.6173509226348322,-0.44870247053184475,2
Pennsylvania,PA,34500000000,2.75,0.13,58805,5.0,12563937,2007,0.050225510400431786,-0.9755226453580185,-0.6224546200686832,-0.4977549046992981,-0.3837029433661001,3
Alaska,AK,1180000000,3.96,0.24,76477,7.1,680300,2007,1.9931620431402641,-0.13958784316058806,0.8304197824836128,0.6655533003344734,-0.4662546946158954,2
Nevada,NV,11200000000,4.47,0.33,65629,4.9,2601072,2007,0.8004857468997876,-1.015329064510277,1.4427883323197044,1.6173509226348322,-0.25638006490059306,2
New Hampshire,NH,3560000000,2.03,0.17,82041,4.3,1312540,2007,2.604892400098414,-1.2541675794238287,-1.4869749257196365,-0.07473373923247201,-0.38644994033079,3
Washington,WA,19100000000,4.38,0.36,70512,5.4,6461587,2007,1.3373440022963812,-0.8162969687489839,1.3347232941133353,1.9346167967349515,-0.3665649014632496,2
Delaware,DE,2620000000,4.03,0.12,66274,3.8,871749,2007,0.8713998519030238,-1.4531996751851217,0.9144703677552336,-0.6035101960660048,-0.3625229489432606,3
Wisconsin,WI,7430000000,3.07,0.1,62253,5.5,5610775,2007,0.42931362520842986,-0.7764905495967255,-0.23822337311270428,-0.8150207787994177,-0.49974232859699735,3
West Virginia,WV,7440000000,2.77,0.13,51101,5.1,1834052,2007,-0.7967857530800836,-0.93571622620576,-0.5984401671339346,-0.4977549046992981,-0.27672979665542735,3
Hawaii,HI,2970000000,4.39,0.46,77726,2.3,1315675,2007,2.1304825348442056,-2.0502959624690007,1.3467305205807094,2.992169710402017,-0.4235786681714294,2
Massachusetts,MA,13200000000,2.83,0.24,70977,5.5,6431559,2007,1.3884681245080166,-0.7764905495967255,-0.5263968083296884,0.6655533003344734,-0.4403119804994173,3
Florida,FL,192000000000,4.78,0.25,55596,3.7,18367842,2007,-0.30258590503427407,-1.4930060943373802,1.8150123528083097,0.7713085917011799,0.24534413102421937,0
Wyoming,WY,1270000000,3.04,0.1,59178,4.0,534876,2007,0.09123475251858239,-1.3735868368806046,-0.2742450525148271,-0.8150207787994177,-0.41403038871688086,3
Maine,ME,3660000000,2.52,0.2,58146,5.4,1327040,2007,-0.022227815486595685,-0.8162969687489839,-0.8986208288182932,0.24253213486764752,-0.38271834716147124,3
Maryland,MD,17700000000,4.05,0.17,79678,4.1,5653408,2007,2.345093903784232,-1.333780417728346,0.9384848206899818,-0.07473373923247201,-0.35228768790805565,3
Oklahoma,OK,11300000000,4.01,0.12,52466,4.7,3634349,2007,-0.646711716910444,-1.0949419028147942,0.8904559148204844,-0.6035101960660048,-0.3540532979298878,0
Ohio,OH,35600000000,3.79,0.1,59609,6.2,11500468,2007,0.13862076686958213,-0.4978456155309153,0.626296932538249,-0.8150207787994177,-0.3551711860921054,0
Utah,UT,6870000000,3.8,0.12,64987,2.8,2597746,2007,0.729901474943078,-1.8512638667077077,0.6383041590056231,-0.6035101960660048,-0.39197539140819027,3
Missouri,MO,44800000000,4.24,0.11,55852,5.2,5887612,2007,-0.274440151730664,-0.8959098070535012,1.1666221235700949,-0.7092654874327112,0.013231007966062457,0
Minnesota,MN,8180000000,3.32,0.14,70485,5.4,5207203,2007,1.334375504877641,-0.8162969687489839,0.06195728857165441,-0.39199961333259153,-0.4796098774740237,3
Michigan,MI,20100000000,3.63,0.28,59938,7.8,10001284,2007,0.17479245763867476,0.1390570909052222,0.43418130906025926,1.0885744658012997,-0.4437920251517552,2
Rhode Island,RI,1880000000,2.85,0.13,65814,5.8,1057315,2007,0.8208254514355995,-0.6570712921399497,-0.5023823553949397,-0.4977549046992981,-0.4626993661381514,3
Kansas,KS,13100000000,4.12,0.08,58878,4.5,2783785,2007,0.058251447865914345,-1.1745547411193116,1.0225354059616025,-1.0265313615328306,-0.2237400384130932,0
Montana,MT,3130000000,2.93,0.12,52999,4.1,964706,2007,-0.5881113789775371,-1.333780417728346,-0.4063245436559448,-0.6035101960660048,-0.34301110099657905,3
Mississippi,MS,12900000000,3.48,0.05,45259,6.9,2928350,2007,-1.4390806390163726,-0.219200681465105,0.25407291204964416,-1.3437972356329502,-0.24827575356500092,0
South Carolina,SC,131000000000,5.02,0.13,53499,6.4,4444110,2007,-0.5331392045564237,-0.41823277722639796,2.1031857880252933,-0.4977549046992981,1.7980813378073874,0
Kentucky,KY,30100000000,2.8,0.19,47897,6.5,4256672,2007,-1.1490474467705782,-0.37842635807413955,-0.5624184877318117,0.1367768435009409,-0.03067564471564279,4
Oregon,OR,13800000000,3.84,0.47,60989,5.9,3722417,2007,0.29034396827185516,-0.617264872987691,0.6863330648751206,3.0979250017687234,-0.3052412548943255,2
South Dakota,SD,1140000000,1.82,0.07,56354,3.7,791623,2007,-0.21924808861186615,-1.4930060943373802,-1.7391266815344975,-1.1322866528995372,-0.4902874226088854,3
Virginia,VA,24200000000,2.77,0.11,72469,3.6,7833496,2008,1.552505092980619,-1.5328125134896389,-0.5984401671339346,-0.7092654874327112,-0.35567956346920143,3
Colorado,CO,10200000000,3.24,0.3,71251,4.7,4889730,2008,1.4185928760907867,-1.0949419028147942,-0.03410052316733993,1.3000850485347124,-0.43756751665743926,2
California,CA,542000000000,0.51,0.37,66658,6.4,36604337,2008,0.913618481858439,-0.41823277722639796,-3.312073348760537,2.040372088101658,0.6007089739149616,2
Alabama,AL,15400000000,4.28,0.11,51999,4.3,4718206,2008,-0.6980557278197639,-1.2541675794238287,1.2146510294395922,-0.7092654874327112,-0.34142437127788794,0
Arkansas,AR,7140000000,4.32,0.11,46282,5.6,2874554,2008,-1.3266075701507747,-0.736684130444467,1.2626799353090898,-0.7092654874327112,-0.4050945978684025,0
Vermont,VT,1220000000,2.68,0.15,59283,5.0,624151,2008,0.1027789091470162,-0.9755226453580185,-0.7065052053403035,-0.28624432196588523,-0.44828816110720165,3
Illinois,IL,27300000000,3.52,0.12,62262,6.3,12747038,2008,0.4303031243480099,-0.4580391963786568,0.3021018179191416,-0.6035101960660048,-0.43302383616275997,3
Georgia,GA,230000000000,4.57,0.2,54046,5.3,9504843,2008,-0.47299964573972564,-0.8561033879012427,1.5628605969934484,0.24253213486764752,1.3672113234728542,0
Indiana,IN,19600000000,3.63,0.12,54389,5.3,6424806,2008,-0.4352887340868418,-0.8561033879012427,0.43418130906025926,-0.6035101960660048,-0.35883184203484253,0
Iowa,IA,4100000000,2.72,0.11,58623,4.7,3016734,2008,0.030215638911146505,-1.0949419028147942,-0.6584762994708061,-0.7092654874327112,-0.4968980670736675,3
Arizona,AZ,26000000000,4.63,0.2,54849,4.5,6280362,2008,-0.3847143336194175,-1.1745547411193116,1.634903955797694,0.24253213486764752,-0.26993115278968005,0
Idaho,ID,3640000000,2.34,0.1,55441,4.8,1534320,2008,-0.3196272791048192,-1.0551354836625357,-1.1147509052310316,-0.8150207787994177,-0.4141932708776997,3
Connecticut,CT,8140000000,2.76,0.13,75623,5.4,3545579,2008,1.8992695692290025,-0.8162969687489839,-0.6104473936013092,-0.4977549046992981,-0.4204428216050413,3
New Jersey,NJ,30300000000,2.61,0.16,76352,5.2,8711090,2008,1.9794189995349858,-0.8959098070535012,-0.7905557906119243,-0.18048903059917862,-0.3239274751297146,3
New Mexico,NM,6820000000,4.41,0.15,49223,3.7,2010662,2008,-1.0032612402057857,-1.4930060943373802,1.3707449735154587,-0.28624432196588523,-0.33097995077823167,0
Texas,TX,89900000000,4.5,0.17,54353,4.7,24309039,2008,-0.439246730645162,-1.0949419028147942,1.4788100117218277,-0.07473373923247201,-0.3059803867378448,0
Louisiana,LA,17300000000,4.53,0.12,46255,4.4,4435586,2008,-1.3295760675695147,-1.21436116027157,1.514831691123951,-0.6035101960660048,-0.28948833031424753,0
North Carolina,NC,71200000000,4.47,0.13,50191,5.3,9309449,2008,-0.89683511052651,-0.8561033879012427,1.4427883323197044,-0.4977549046992981,0.016409767753619787,0
North Dakota,ND,6480000000,2.15,0.09,58026,3.8,657569,2008,-0.035421137347662904,-1.4531996751851217,-1.3428882081111442,-0.9207760701661243,0.19648912896524193,3
Nebraska,NE,2080000000,3.17,0.22,59308,3.6,1796378,2008,0.10552751786807188,-1.5328125134896389,-0.1181511084389607,0.45404271760106046,-0.5133198665883555,3
Tennessee,TN,37700000000,4.75,0.16,46417,5.9,6247411,2008,-1.311765083057074,-0.617264872987691,1.7789906734061864,-0.18048903059917862,-0.11529452525702286,0
New York,NY,34200000000,2.43,0.32,58996,5.3,19212436,2008,0.07122488102929711,-0.8561033879012427,-1.0066858670246621,1.5115956312681256,-0.46253546025405595,2
Pennsylvania,PA,38100000000,2.79,0.12,60096,5.4,12612285,2008,0.19216366475574662,-0.8162969687489839,-0.5744257141991858,-0.6035101960660048,-0.3612650400956265,3
Alaska,AK,2130000000,3.51,0.24,74812,7.2,687455,2008,1.8101047023179564,-0.09978142400832925,0.29009459145176697,0.6655533003344734,-0.35493788397583675,2
Nevada,NV,12400000000,4.1,0.33,64004,5.9,2653630,2008,0.621826180031169,-0.617264872987691,0.9985209530268533,1.6173509226348322,-0.22643174314064632,2
New Hampshire,NH,4750000000,2.29,0.15,77369,4.0,1315906,2008,2.0912324023075306,-1.3735868368806046,-1.1747870375679033,-0.28624432196588523,-0.3132063388862339,3
Washington,WA,21600000000,4.09,0.33,66210,5.2,6562231,2008,0.8643634135771213,-0.8959098070535012,0.9865137265594792,1.6173509226348322,-0.3391707794361452,2
Delaware,DE,2320000000,4.25,0.11,59278,4.2,883874,2008,0.10222918740280507,-1.2939739985760872,1.178629350037469,-0.7092654874327112,-0.39359078582693185,0
Wisconsin,WI,8670000000,3.03,0.1,59860,4.9,5640996,2008,0.16621679842898107,-1.015329064510277,-0.28625227898220174,-0.8150207787994177,-0.48237989442046847,3
West Virginia,WV,8170000000,2.79,0.11,44420,4.8,1840310,2008,-1.531323947695001,-1.0551354836625357,-0.5744257141991858,-0.7092654874327112,-0.24547961767652712,0
Hawaii,HI,3340000000,3.71,0.45,71927,2.9,1332213,2008,1.492915255908132,-1.8114574475554492,0.5302391207992542,2.8864144190353103,-0.40319752183401625,2
Massachusetts,MA,13800000000,2.87,0.22,70523,5.2,6468967,2008,1.3385533901336457,-0.8959098070535012,-0.47836790246019095,0.45404271760106046,-0.4337104364150585,3
Florida,FL,295000000000,4.78,0.27,52444,5.0,18527305,2008,-0.649130492584973,-0.9755226453580185,1.8150123528083097,0.9828191744345932,0.691751654149693,0
Wyoming,WY,1070000000,2.9,0.14,62359,3.7,546043,2008,0.4409677261857059,-1.4930060943373802,-0.44234622305806814,-0.39199961333259153,-0.44788843661062533,3
Maine,ME,3360000000,2.56,0.2,55216,5.6,1330509,2008,-0.3443647575943203,-0.736684130444467,-0.8505919229487958,0.24253213486764752,-0.401708565270772,3
Maryland,MD,15700000000,4.11,0.16,74487,3.9,5684965,2008,1.7743727889442327,-1.413393256032863,1.0105281794942285,-0.18048903059917862,-0.38242022225302824,3
Oklahoma,OK,28700000000,3.96,0.1,53910,3.8,3668976,2008,-0.48795207718226846,-1.4531996751851217,0.8304197824836128,-0.8150207787994177,0.030628058112794808,0
Ohio,OH,86000000000,3.76,0.11,54873,6.4,11515391,2008,-0.38207566924720404,-0.41823277722639796,0.5902752531361256,-0.7092654874327112,0.001728305017880294,0
Utah,UT,7910000000,3.7,0.13,73115,3.4,2663029,2008,1.6235291423326974,-1.6124253517941562,0.51823189433188,-0.4977549046992981,-0.3653918959260589,3
Missouri,MO,33000000000,4.16,0.13,53825,5.8,5923916,2008,-0.49729734683385773,-0.6570712921399497,1.0705643118311001,-0.4977549046992981,-0.15315443142711996,0
Minnesota,MN,5620000000,3.11,0.15,64215,5.5,5247018,2008,0.6450244376368789,-0.7764905495967255,-0.19019446724320685,-0.28624432196588523,-0.5204044873540744,3
Michigan,MI,32100000000,3.48,0.28,58209,7.9,9946889,2008,-0.015301321509535396,0.17886351005748102,0.25407291204964416,1.0885744658012997,-0.344429000956738,2
Rhode Island,RI,2630000000,3.09,0.11,62246,7.4,1055003,2008,0.42854401476653425,-0.020168585703811984,-0.21420892017795556,-0.7092654874327112,-0.4043583663624921,3
Kansas,KS,104000000000,3.8,0.06,55975,4.3,2808076,2008,-0.2609169968230701,-1.2541675794238287,0.6383041590056231,-1.2380419442662438,2.4150258719109465,0
Montana,MT,3870000000,2.99,0.15,50156,4.9,976415,2008,-0.9006831627359879,-1.015329064510277,-0.3342811848516986,-0.28624432196588523,-0.28432960420311026,3
Mississippi,MS,14300000000,3.24,0.07,42611,6.5,2947806,2008,-1.7302132747505892,-0.37842635807413955,-0.03410052316733993,-1.1322866528995372,-0.21188547702757807,0
South Carolina,SC,225000000000,4.92,0.12,49285,6.0,4528996,2008,-0.9964446905775675,-0.5774584538354325,1.9831135233515502,-0.6035101960660048,3.447006782523638,0
Kentucky,KY,88100000000,2.96,0.19,48108,6.2,4289878,2008,-1.1258491891648685,-0.4978456155309153,-0.370302864253822,0.1367768435009409,1.0683646098980437,0
Oregon,OR,13700000000,3.58,0.55,60476,6.0,3768748,2008,0.2339425173157928,-0.5774584538354325,0.37414517672338776,3.943967332702376,-0.31112675127596534,2
South Dakota,SD,2230000000,1.99,0.07,60328,3.2,799124,2008,0.21767075368714323,-1.6920381900986732,-1.5350038315891337,-1.1322866528995372,-0.3800626368796171,3
Virginia,VA,36200000000,2.68,0.11,70981,6.2,7925937,2009,1.3889079019033854,-0.4978456155309153,-0.7065052053403035,-0.7092654874327112,-0.23504754965880287,3
Colorado,CO,11600000000,3.04,0.31,65618,7.3,4972195,2009,0.799276359062523,-0.059975004856070796,-0.2742450525148271,1.405840339901419,-0.4174101118015711,2
California,CA,472000000000,0.47,0.33,65858,10.3,36961229,2009,0.8256630027846575,1.1342175697116876,-3.3601022546300343,1.6173509226348322,0.43446287530065447,2
Alabama,AL,20400000000,3.99,0.13,46905,8.7,4757938,2009,-1.2581122408220673,0.49731486327554936,0.8664414618857362,-0.4977549046992981,-0.2578773945495571,0
Arkansas,AR,11800000000,4.28,0.1,42867,7.5,2896843,2009,-1.7020675214469791,0.019637833448446475,1.2146510294395922,-0.8150207787994177,-0.27535791911623464,0
Vermont,VT,99200000000,2.54,0.19,61381,7.1,624817,2009,0.33344215301800806,-0.13958784316058806,-0.8746063758835445,0.1367768435009409,12.350567678674397,1
Illinois,IL,66300000000,3.26,0.11,62028,8.7,12796778,2009,0.40457614671892883,0.49731486327554936,-0.010086070232591742,-0.7092654874327112,-0.18495716959164857,4
Georgia,GA,186000000000,4.19,0.21,50848,8.7,9620846,2009,-0.8246016733371669,0.49731486327554936,1.1065859912332234,0.3482874262343538,0.9701199566649873,0
Indiana,IN,20000000000,3.43,0.11,51980,9.8,6459325,2009,-0.7001446704477662,0.9351854739503945,0.1940367797127726,-0.7092654874327112,-0.3551081301680976,4
Iowa,IA,4260000000,2.59,0.11,59507,6.2,3032870,2009,0.127406443287675,-0.4978456155309153,-0.814570243546673,-0.7092654874327112,-0.4931823965309074,3
Arizona,AZ,36000000000,3.65,0.23,53662,8.2,6343154,2009,-0.5152182756951408,0.29828276751425636,0.458195761995008,0.5597980089677671,-0.14460313631737906,0
Idaho,ID,14100000000,2.25,0.12,54881,7.9,1554439,2009,-0.38119611445646623,0.17886351005748102,-1.2228159434374006,-0.6035101960660048,0.1325255884462253,4
Connecticut,CT,6780000000,2.62,0.13,76085,7.7,3561807,2009,1.9500638583941112,0.09925067175296375,-0.7785485641445496,-0.4977549046992981,-0.452461107654574,3
New Jersey,NJ,136000000000,2.37,0.15,75998,8.2,8755602,2009,1.9404987000448375,0.29828276751425636,-1.0787292258289083,-0.28624432196588523,0.6599583038214071,3
New Mexico,NM,10700000000,4.29,0.17,51084,6.0,2036802,2009,-0.7986548070104015,-0.5774584538354325,1.2266582559069663,-0.07473373923247201,-0.17905269327178644,0
Texas,TX,159000000000,4.5,0.15,55499,6.8,24801761,2009,-0.3132505068719701,-0.2590071006173638,1.4788100117218277,-0.28624432196588523,-0.08457833437055855,0
Louisiana,LA,27300000000,4.49,0.28,53303,6.1,4491648,2009,-0.5546882969295002,-0.537652034683174,1.4668027852544536,1.0885744658012997,-0.11174836654636597,0
North Carolina,NC,93500000000,4.04,0.14,49165,9.8,9449566,2009,-1.0096380124386348,0.9351854739503945,0.9264775942226077,-0.39199961333259153,0.19976656127995676,0
North Dakota,ND,10200000000,2.19,0.12,58749,5.2,664968,2009,0.04406862686526709,-0.8959098070535012,-1.2948593022416468,-0.6035101960660048,0.6441381737526075,3
Nebraska,NE,4470000000,3.03,0.21,58186,4.9,1812683,2009,-0.017830041532906613,-1.015329064510277,-0.28625227898220174,0.3482874262343538,-0.4065560437825621,3
Tennessee,TN,43100000000,4.43,0.17,47535,9.8,6306019,2009,-1.1888473010514644,0.9351854739503945,1.394759426450207,-0.07473373923247201,-0.049979560672409336,0
New York,NY,34200000000,2.34,0.32,58945,7.7,19307066,2009,0.06561771923834354,0.09925067175296375,-1.1147509052310316,1.5115956312681256,-0.4632475726586261,2
Pennsylvania,PA,73900000000,2.57,0.12,56517,7.6,12666858,2009,-0.20132715975058316,0.05944425260070493,-0.8385846964814218,-0.6035101960660048,-0.13164916217442763,4
Alaska,AK,1570000000,3.55,0.29,72275,8.2,698895,2009,1.531175889305227,0.29828276751425636,0.3381234973212644,1.1943297571680058,-0.4244759196506188,2
Nevada,NV,11200000000,3.71,0.41,60344,10.4,2684665,2009,0.21942986326861885,1.174023988863946,0.5302391207992542,2.463393253568484,-0.2673230996693637,2
New Hampshire,NH,3340000000,2.35,0.12,75240,5.8,1316102,2009,1.8571608836224296,-0.6570712921399497,-1.102743678763657,-0.6035101960660048,-0.40069257756519205,3
Washington,WA,24700000000,4.01,0.34,70853,8.3,6667426,2009,1.3748350252515804,0.33808918666651555,0.8904559148204844,1.7231062140015387,-0.30546086299385106,2
Delaware,DE,2970000000,3.97,0.13,61141,7.6,891730,2009,0.3070555092958736,0.05944425260070493,0.8424270089509874,-0.4977549046992981,-0.3359842793711628,0
Wisconsin,WI,11900000000,2.86,0.12,60112,7.7,5669264,2009,0.19392277433722224,0.09925067175296375,-0.4903751289275656,-0.6035101960660048,-0.43650376132699437,3
West Virginia,WV,25700000000,2.8,0.09,47504,6.7,1847775,2009,-1.1922555758655735,-0.2988135197696222,-0.5624184877318117,-0.9207760701661243,0.527384837150532,4
Hawaii,HI,2450000000,3.79,0.43,65289,6.0,1346717,2009,0.7631046682934305,-0.5774584538354325,0.626296932538249,2.6749038363018967,-0.45934072831750933,2
Massachusetts,MA,12700000000,2.82,0.24,69658,7.9,6517613,2009,1.2434515283851195,0.17886351005748102,-0.538404034797063,0.6655533003344734,-0.44878514566140143,2
Florida,FL,341000000000,4.43,0.3,53535,8.9,18652644,2009,-0.5291812079981035,0.576927701580067,1.394759426450207,1.3000850485347124,0.8843031966096714,0
Wyoming,WY,2890000000,2.76,0.09,61559,5.5,559851,2009,0.3530122471119244,-0.7764905495967255,-0.6104473936013092,-0.9207760701661243,-0.18650008934664733,3
Maine,ME,3710000000,2.5,0.18,55730,8.4,1329590,2009,-0.28785336228941566,0.377895605818774,-0.922635281753042,0.03102155213423431,-0.38008073970153305,4
Maryland,MD,21900000000,3.77,0.2,75305,6.6,5730388,2009,1.8643072662971742,-0.3386199389218811,0.6022824796035003,0.24253213486764752,-0.2958989539427203,3
Oklahoma,OK,43600000000,4.06,0.13,53825,5.4,3717572,2009,-0.49729734683385773,-0.8162969687489839,0.9504920471573559,-0.4977549046992981,0.3494113257140903,0
Ohio,OH,100000000000,3.6,0.11,53826,9.6,11528896,2009,-0.49718740248501553,0.8555726356458769,0.39815962965813645,-0.7092654874327112,0.10012773014692626,4
Utah,UT,9330000000,3.59,0.14,68623,6.0,2723421,2009,1.1296591273334147,-0.5774584538354325,0.38615240319076183,-0.39199961333259153,-0.3282113766202,3
Missouri,MO,38500000000,3.88,0.12,57217,8.9,5961088,2009,-0.12436611556102439,0.576927701580067,0.734361970744618,-0.6035101960660048,-0.0806836759419226,0
Minnesota,MN,20800000000,2.88,0.15,65806,8.3,5281203,2009,0.8199458966448617,0.33808918666651555,-0.46636067599281683,-0.28624432196588523,-0.28636861948678133,3
Michigan,MI,43900000000,3.37,0.14,53961,12.4,9901591,2009,-0.4823449153913149,1.970152371909118,0.12199342090852647,-0.39199961333259153,-0.24595615288750994,4
Rhode Island,RI,3110000000,2.87,0.15,60578,10.8,1053646,2009,0.24515684089769993,1.3332496654729806,-0.47836790246019095,-0.28624432196588523,-0.3669137979593456,4
Kansas,KS,14300000000,3.61,0.07,52463,6.3,2832704,2009,-0.6470415499569707,-0.4580391963786568,0.41016685612551057,-1.1322866528995372,-0.19579714083662525,0
Montana,MT,4640000000,2.81,0.12,47442,6.7,983982,2009,-1.1990721254937915,-0.2988135197696222,-0.5504112612644371,-0.6035101960660048,-0.22294749744183112,4
Mississippi,MS,17600000000,3.24,0.09,41154,8.9,2958774,2009,-1.8904021910137137,0.576927701580067,-0.03410052316733993,-0.9207760701661243,-0.12232112344874625,4
South Carolina,SC,254000000000,4.56,0.1,48221,10.8,4589872,2009,-1.113425477745697,1.3332496654729806,1.5508533705260732,-0.8150207787994177,3.9089183023857847,0
Kentucky,KY,105000000000,2.78,0.14,50054,10.0,4317074,2009,-0.911897486317895,1.0147983122549113,-0.5864329406665604,-0.39199961333259153,1.3773189545427231,4
Oregon,OR,14600000000,3.28,0.45,57603,10.8,3808600,2009,-0.08192759690792485,1.3332496654729806,0.013928382702156976,2.8864144190353103,-0.2949441022365498,2
